institución,sigla,coach,nombre,correo,whatsapp,grado,robot,categorías
Institución Educativa Técnica de Pasacaballos,IETP,Álvaro Salgado,Salomé Blanco Martínez,salome.blanco@correo.test,555-0162,11°,Cometa Max,minisumo
Institución Educativa Técnica de Pasacaballos,IETP,Álvaro Salgado,Sara Salgado Padilla,sara.salgado@correo.test,555-0158,6°,Rayo Max,seguidor-de-linea
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Ana Sofía Orozco Salgado,ana.orozco@correo.test,555-0115,9°,Fénix Getsemaní,sumo
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Antonella Jiménez Julio,antonella.jimenez@correo.test,555-0117,9°,Vórtice Caribe,explotaglobos
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Antonella Villalba Díaz,antonella.villalba@correo.test,555-0119,8°,Relámpago Max,sumo-rc|explotaglobos
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Esteban Caraballo Buelvas,esteban.caraballo@correo.test,555-0118,10°,Atlas 2.0,carrera-rc
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Kevin Ortega Torres,kevin.ortega@correo.test,555-0120,10°,Jaguar Walled,carrera-rc
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Mariana Villalba Ortega,mariana.villalba@correo.test,555-0116,10°,Halcón Pro,futbolito
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Mariana Villalba Ortega,mariana.villalba@correo.test,555-0116,10°,Fénix Manga,carrera-rc
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Mateo Arrieta Padilla,mateo.arrieta@correo.test,555-0111,6°,Mantis Zeta,sumo-rc
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Salomé Marrugo Mendoza,salome.marrugo@correo.test,555-0113,11°,Titán Turbo,sumo
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Sara Pérez Jiménez,sara.perez@correo.test,555-0114,11°,Boa Caribe,explotaglobos
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Yuliana Gómez Cassiani,yuliana.gomez@correo.test,555-0112,8°,Fénix Bocagrande,futbolito
Institución Educativa INEM José Manuel Rodríguez Torices,INEM,Liliana Marrugo,Yuliana Gómez Cassiani,yuliana.gomez@correo.test,555-0112,8°,Dron Boa Pro,circuito-dron
